"ID","Title","Automation Type","Created By","Created On","Expected Result","Preconditions","Priority","Section","Section Description","Steps","Steps","Steps (Expected Result)","Steps (Step)","Type","Updated By","Updated On"
"C23","Calculate cost of the flight ticket based on only distance"," None","Rahat","5/22/2023 9:34 AM","","Distance must be less than 500 miles","Medium","Team 3 - Rahat","","1. Open the application
Expected Result:
The application page should display2. Click on the input field for distance : 0
Expected Result:
The value should be stored into the application system3. Click on the input field for departure date : 0
Expected Result:
The value should be stored into the application system4. Click on the dropdown menu of seat class : Economy
Expected Result:
The value should be stored into the application system5. Click on the input field for extra baggage (kg) : -2
Expected Result:
The value should be stored into the application system6. Click on the """"Calculate Cost"""" button
Expected Result:
An Error Message should be displayed","","The application page should display","Open the application","Functional","Rahat","5/22/2023 5:12 PM"
"C207","Calculate cost of the flight ticket based on only distance"," None","Rahat","5/22/2023 5:01 PM","","Distance must be less than 500 miles","Medium","Team 3 - Rahat","","1. Open the application
Expected Result:
The application page should display2. Click on the input field for distance : 499
Expected Result:
The value should be stored into the application system3. Click on the input field for departure date : 0
Expected Result:
The value should be stored into the application system4. Click on the dropdown menu of seat class : Economy
Expected Result:
The value should be stored into the application system5. Click on the input field for extra baggage (kg) : 50
Expected Result:
The value should be stored into the application system6. Click on the """"Calculate Cost"""" button
Expected Result:
An Error message should be displayed","","The application page should display","Open the application","Functional","Rahat","5/22/2023 5:38 PM"
"C224","Calculate cost of the flight ticket based on only distance"," None","Rahat","5/22/2023 5:14 PM","","Distance must be less than 500 miles","Medium","Team 3 - Rahat","","1. Open the application
Expected Result:
The application page should display2. Click on the input field for distance : 499
Expected Result:
The value should be stored into the application system3. Click on the input field for departure date : 90
Expected Result:
The value should be stored into the application system4. Click on the dropdown menu of seat class : Economy
Expected Result:
The value should be stored into the application system5. Click on the input field for extra baggage (kg) : -2
Expected Result:
The value should be stored into the application system6. Click on the """"Calculate Cost"""" button
Expected Result:
An Error message should be displayed","","The application page should display","Open the application","Functional","Rahat","5/22/2023 5:39 PM"
"C295","Calculate cost of the flight ticket based on only distance"," None","Rahat","5/22/2023 5:40 PM","","Distance must be less than 500 miles","Medium","Team 3 - Rahat","","1. Open the application
Expected Result:
The application page should display2. Click on the input field for distance : 499
Expected Result:
The value should be stored into the application system3. Click on the input field for departure date : 90
Expected Result:
The value should be stored into the application system4. Click on the dropdown menu of seat class : Economy
Expected Result:
The value should be stored into the application system5. Click on the input field for extra baggage (kg) : 50
Expected Result:
The value should be stored into the application system6. Click on the """"Calculate Cost"""" button
Expected Result:
Total cost should be displayed : 100","","The application page should display","Open the application","Functional","Rahat","5/22/2023 5:41 PM"
"C298","Calculate cost of the flight ticket based on only distance"," None","Rahat","5/22/2023 5:42 PM","","Distance must be less than 500 miles","Medium","Team 3 - Rahat","","1. Open the application
Expected Result:
The application page should display2. Click on the input field for distance : 499
Expected Result:
The value should be stored into the application system3. Click on the input field for departure date : 89
Expected Result:
The value should be stored into the application system4. Click on the dropdown menu of seat class : Economy
Expected Result:
The value should be stored into the application system5. Click on the input field for extra baggage (kg) : 51
Expected Result:
The value should be stored into the application system6. Click on the """"Calculate Cost"""" button
Expected Result:
An error message should be displayed","","The application page should display","Open the application","Functional","Shahadat","5/23/2023 9:23 AM"
"C299","Calculate cost of the flight ticket based on only distance"," None","Rahat","5/22/2023 5:43 PM","","Distance must be less than 500 miles","Medium","Team 3 - Rahat","","1. Open the application
Expected Result:
The application page should display2. Click on the input field for distance : 499
Expected Result:
The value should be stored into the application system3. Click on the input field for departure date : 90
Expected Result:
The value should be stored into the application system4. Click on the dropdown menu of seat class : Economy
Expected Result:
The value should be stored into the application system5. Click on the input field for extra baggage (kg) : 50
Expected Result:
The value should be stored into the application system6. Click on the """"Calculate Cost"""" button
Expected Result:
An error message should be displayed","","The application page should display","Open the application","Functional","Shahadat","5/23/2023 9:25 AM"
"C25","calculate cost based on distance and departure date for flights between 500 and 1000 miles"," None","Shahadat","5/22/2023 9:34 AM","","flight cost","Medium","Team 3 - Rahat","","1. Open the application
Expected Result:
The application page should display

2. Click on the input field for distance : 500

Expected Result:
The value should be stored into the application system

3. Click on the input field for departure date : 6 days


Expected Result:
The value should be stored into the application system

4. Click on the dropdown menu of seat class : Economy


Expected Result:
The value should be stored into the application system

5. Click on the input field for extra baggage (kg) : 49


Expected Result:
The value should be stored into the application system

6. Click on the """"Calculate Cost"""" button


Expected Result:
The cost value should be displayed : $1275","","The application page should display

","Open the application","Functional","Shahadat","5/22/2023 10:55 AM"
"C81","calculate cost based on distance and departure date for flights between 500 and 1000 miles"," None","Shahadat","5/22/2023 10:56 AM","","flight cost","Medium","Team 3 - Rahat","","1. Open the application
Expected Result:
The application page should display

2. Click on the input field for distance : 500

Expected Result:
The value should be stored into the application system

3. Click on the input field for departure date : 7 days


Expected Result:
The value should be stored into the application system

4. Click on the dropdown menu of seat class : Economy


Expected Result:
The value should be stored into the application system

5. Click on the input field for extra baggage (kg) : 49


Expected Result:
The value should be stored into the application system

6. Click on the """"Calculate Cost"""" button


Expected Result:
The cost value should be displayed : $1275","","The application page should display

","Open the application","Functional","Shahadat","5/22/2023 11:05 AM"
"C100","calculate cost based on distance and departure date for flights between 500 and 1000 miles"," None","Shahadat","5/22/2023 11:01 AM","","flight cost","Medium","Team 3 - Rahat","","1. Open the application
Expected Result:
The application page should display

2. Click on the input field for distance : 500

Expected Result:
The value should be stored into the application system

3. Click on the input field for departure date : 30 days


Expected Result:
The value should be stored into the application system

4. Click on the dropdown menu of seat class : Economy


Expected Result:
The value should be stored into the application system

5. Click on the input field for extra baggage (kg) : 51


Expected Result:
The value should be stored into the application system

6. Click on the """"Calculate Cost"""" button


Expected Result:
The cost value should be displayed : error","","The application page should display

","Open the application","Functional","Shahadat","5/22/2023 10:17 PM"
"C342","calculate cost based on distance and departure date for flights between 500 and 1000 miles"," None","Shahadat","5/22/2023 10:18 PM","","flight cost","Medium","Team 3 - Rahat","","1. Open the application
Expected Result:
The application page should display

2. Click on the input field for distance : 500

Expected Result:
The value should be stored into the application system

3. Click on the input field for departure date : 89 days


Expected Result:
The value should be stored into the application system

4. Click on the dropdown menu of seat class : Economy


Expected Result:
The value should be stored into the application system

5. Click on the input field for extra baggage (kg) : 49


Expected Result:
The value should be stored into the application system

6. Click on the """"Calculate Cost"""" button


Expected Result:
The cost value should be displayed : $1255","","The application page should display

","Open the application","Functional","Shahadat","5/22/2023 10:20 PM"
